,title,year,duration,genres,rating,synopsis,directors,stars
0,Dolittle,2020.0,101,"
Adventure, Comedy, Family            ",5.6,"
A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.",Stephen Gaghan,"Robert Downey Jr.,Antonio Banderas,Michael Sheen,Jim Broadbent"
1,The Grudge,2020.0,94,"
Fantasy, Horror            ",4.4,"
A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.",Nicolas Pesce,"Tara Westwood,Junko Bailey,David Lawrence Brown,Zoe Fish"
2,Ghost Stories,2020.0,144,"
Horror, Thriller            ",4.4,"
The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is a 2020 Indian anthology horror film consisting of four short film segments.","Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap","Janhvi Kapoor,Surekha Sikri,Amruta Subhash,Vijay Varma"
3,Invasion,2020.0,134,"
Action, Sci-Fi            ",5.6,"
With the fall of the alien ship Julia's life changed, now three years later mankind is about to experience new encounter.",Fedor Bondarchuk,"Irina Starshenbaum,Rinal Mukhametov,Alexander Petrov,Yuriy Borisov"
4,Antony and Cleopatra 2020,2020.0,72,"
Drama, History            ",,"
Romeo and Juliet for adults: a Roman rules a third the world until he is torn between love and politics by his mistress, Cleopatra Queen of Egypt.",Michael Andres,"Tracy Baumbach,Chadwick Baumbach,Lillet Baumbach,Aaron Angress"
5,Slashlorette Party,2020.0,78,"
Horror            ",3.3,"
A bride-to-be is taken to a woodland cabin for a bachelorette party, but the fun stops when an uninvited party starts cutting down the guest list.","Paul Ragsdale,Angelica De Alba","Ginger Lynn,Krystal Shay,Nina Lanee Kent,Molly Souza"
6,Bikini Valley Car Wash,2020.0,95,"
Comedy            ",3.3,"
When Amanda and Britney's obligations and responsibilities become overwhelming, the two roommates are forced to resort to using their biggest assets to resolves their problems, their brains - and bikinis.",Jordan F. Ghanma,"Maralynn Adams,Teryn Apple,Sadie Bentley,Alejandra Cardenas"
7,Tolo Tolo,2020.0,90,"
Comedy, Family            ",5.8,"
Pierfrancesco ""Checco"" Zalone, a failed entrepreneur, seeks a new life as a waiter on a holiday village in Africa, but the appearance of ISIS forces him to travel again.",Checco Zalone,"Checco Zalone,Souleymane Sylla,Manda Touré,Nassor Said Birya"
8,Beautiful,2020.0,123,"
Drama            ",7.3,"
Beautiful is about ""Can a man take it , if his woman becomes more successful than him?"" It's not about professional jealousy like Abhimaan and Aashiqui 2 but it's about Male pride It's a ...                ","Agasthya Manju,Nilxrak","K K Binojee,Naina Ganguly,Nilxin,Nilxrak"
9,Turnt,2020.0,85,"
Drama            ",3.2,"
This is a story of a young man named Kenny Stanford who had dreams of being an Successful artist in the music industry, but these dreams were cut short.",Mann Robinson,"Marian Berry,Torrei Hart,Benzino,Nicole Alexander"
10,Baba Parasi,2020.0,116,"
Comedy            ",4.6,"
A group of siblings that share nothing but a father come together after the patriarch's death to compete for his fortune. He left a save for his children, but took the password to the grave with him.",Selçuk Aydemir,"Ahmet Kural,Murat Cemcir,Devrim Yakut,Rasim Öztekin"
11,The Blackwell Ghost 4,2020.0,77,"
Horror            ",7.0,"
Turner returns to the light foot house to continue his investigation. This time he researched into the first victim Susan. He finds out from the detective there was a note left when light ...                ",Turner Clay,Turner Clay
12,Camp Blood 8: Revelations,2020.0,82,"
Horror            ",2.6,"
When a team of volleyball players get lost in the woods, they encounter a killer clown and his psychotic exhibitionist mother. Will he kill them all or will they find a way to defeat him?",Dennis Devine,"Rhei Liu,Phoebe Dollar,Sally Mullins,Rowan Denis"
13,The Project,2020.0,94,"
Thriller            ",4.1,"
A young woman, kidnapped and held in a basement, must use all her wits to control the situation from the confines of her cell and get out alive.",Brandon Rhiness,"Skylar Radzion,Griffin Cork,Madison Nyenhuis,Reamonn Joshee"
14,...gia panta,2020.0,87,"
Drama, Romance            ",6.1,"
Petros is a 35-year-old successful chef and vinyl collector. Zoi is a romantic girl who designs and sews children's costumes. Their two worlds will be called into question when they come across a bookstore in downtown Athens.",Giannis Papadakos,"Yannis Tsimitselis,Katerina Geronikolou,Olga Damani,Peny Agorastou"
15,Pungo: A Witch's Tale,2020.0,102,"
Fantasy            ",4.3,"
A burned-out ex-Navy SEAL and an emotionally-damaged firefighter work together as handymen in Tidewater Virginia. Things turn surreal when a simple renovation job becomes a journey to ...                ",Philip J. Cook,"Mark Hyde,Matthew Sharpe,Cathryn Benson,Conor Marsh"
16,The Mask of Shura of Fire Cloud,2020.0,75,"
Action            ",6.1,"
A master call Fire Cloud is a bad guy, he wants to fight people but a hero from China don't like it and stop him. People is save again.",Frankie Chung,"Zina Blahusova,Siu-Lung Leung,Qiu Yuen,Wah Yuen"
17,BSA Live,2020.0,120,"
Family            ",,"
        ",Tony Boldi,"Raquel Andrews,Holden Baloun,Ryker Baloun,Keith Barrows"
18,Bullet Ride,2020.0,89,"
Action, Comedy            ",5.8,"
When two Producers are threatened by their boss to make a successful movie, they turn to the only solution they can think of. Kill an actor - movie makes money.","Demetrius Navarro,Enrico Natale","James Russo,Valente Rodriguez,John Hennigan,Kavan Reece"
19,Luccas Neto em: Acampamento de Férias 2,,81,"
Comedy, Family            ",2.5,"
On this vacation, Luccas Neto and his friends will visit a new camp. They will face a team of very skilled rivals, in addition to a strict boss. Surprises and fun songs await you in this ...                ",Lucas Margutti,"Giovanna Alparone,Jessi Dihel,Vivian Duarte,Luccas Neto"
20,Un pugno di amici,2020.0,90,"
Comedy            ",4.9,"
        ",Sergio Colabona,"Tony Matranga,Emmanuele Minafò,Mariano Bruno,Domenico Fazio"
21,TV's Greatest Westerns,2020.0,82,"
Western            ",,"
It's the best from the Old West as we take a look at some of the most popular and best-known TV Westerns of their time.",Tom Edinger,
22,Positive,2020.0,94,"
Comedy            ",3.0,"
When a young woman's boyfriend dumps her after discovering she's pregnant, her mischievous co-worker comes up with a scheme to get back at him.",Avai d'Amico,"Emma Paunil,Brianna Temple,Jade Ashton,A.J. Bailey"
23,The Fort,2020.0,70,"
Drama, War            ",,"
In late 1944, a lone German unit is forced to take refuge in an old fort. But there is no rest from war.",Douglas Cubin,"Andrew Joshi,Jordan Handford,Eric Wharton,Sean Sheahan"
24,Home of the Brave,2020.0,104,"
Drama            ",4.7,"
Drew Thomas returns from war and is confronted with the challenges of rebuilding his life.",Deon Gibson,"Andrew Dozier,Victoria Baxter,Terri Blakney Beach,Sammy Cash Bennett"
25,Iris,2020.0,79,"
Action, Crime, Drama            ",6.1,"
Carson, a genius engineer, creates incredibly powerful technology only to have his thief ex-girlfriend Charlotte steal it and give it to the wrong people. Now, he must enlist her help to get it back. Turns out it's not that simple.",Christopher Steinberger,"Patrick M. Kelly,Michelle Hunter,Josef Ritter,Nathan Faudree"
26,Manhunt,2020.0,45,"
Drama, Horror, Thriller            ",,"
When Rodger Flank is invited to a college drinking game, things start to go terribly wrong. Told out of sequence, and from both sides of the fence, Manhunt is a story of revenge, psychosis, and childhood's end.",Charles Solly,"Leo Broadhead,Adam Cavender,Ashley Clarredge,Jordan Flynn"
27,Oollalla Oollalla,2020.0,117,"
Horror            ",,"
Pandu (Nataraj) is an aspiring film director who studies engineering. Noorin (Noorin Shereef) is from the same college and falls in love with him for no reason. When Pandu gets lost in a ...                ",Satya Prakash,"Raghu Babu,Raghu Kumar Karumanchi,Matakari Mangli,Nataraj Peri"
28,"U2: Experience +Innocence, Live in Berlin",2020.0,75,"
Music            ",7.5,"
U2 live in Berlin. A must for all U2 fans.",Matt Askem,"Bono,Adam Clayton,The Edge,Larry Mullen Jr."
29,A Private Dancer in Mom's Kitchen!,2020.0,92,"
Comedy            ",8.5,"
Adult twin brothers, one a doctor and the other having a GED certificate, have been squabbling since birth. Now living in different states, they are forced by their aging mother to reunite ...                ",Bill Briles,"Aleta Doroudian,Bill Briles"
30,The Last Bite,2020.0,70,"
Drama, Mystery, Sci-Fi            ",4.1,"
The Last Bite is an art-house feature film about Carlos, a tormented artist living in London. Carlos' perspective on life changes when he meets Veronica, an other-worldly woman.",Sebastiano Pupino,"Carlos Carvalho,Laura Jean Marsh,Sumit Chakravarti,Eleonora Cucciarelli"
31,The Inconsiderables: Last Exit Out of Hollywood,2020.0,96,"
Drama, Fantasy, Horror            ",3.9,"
Salvatore Sebergandio presents a B grindhouse experience with off audio, missing and skipping reels with bad CGI about an aged mafia Hitman Salvatore, (Robert Woods), who is sent to Los ...                ",Salvatore Sebergandio,"Robert Woods,Shannah Laumeister Stern,Sidney Kassouf,Marcello Cacioppo"
32,Momma Knows Best... Right?,2020.0,61,"
Drama            ",7.5,"
One young woman's struggle to survive and make sense of the horrific elements of her formative years..",Elmer J. Howard,Nancy Cardona
33,The Pre-Drink,2020.0,81,"
Comedy            ",6.5,"
When Dean's two eccentric best friends have a falling out he tries to hold on to what's left of this friendship as this alcohol fueled night ramps up - all this, one hour before his wedding.",Mauro Ferritto,"Mike Campbell,Jessina Cheffins,Nick Christie,Andrea Ginter"
34,Sin,2020.0,88,"
Drama            ",8.4,"
An Opioid addicted drifter living in Germany is blackmailed into searching for a stolen artifact by a murderous black-market antiquities dealer.",Joshua Clay,"Morrison James,Mark Kyriacou,Joshua Clay,Jürgen Buscher"
35,Coffee in Winter,2020.0,95,"
Drama, Romance            ",,"
When a young married professional quits his job to pursue a career in photography, he gradually reveals the emptiness of his relationship with his wife as he begins to deeply connect with a German student.",Manjeet S Gill,"Roderick Masih,Kim Bormann,Andrew J Walker,Anna Devi"
36,Homicidal Vengeance,2020.0,60,"
Action, Horror            ",,"
Dominic takes on the Irish mob that killed his son and left him for dead. Too bad they didn't realize he is a special ops trained professional who will stop at nothing to carry out his vengeance.","Adam R. Steigert,Mark Mendola","Alexander S. McBryde,Richard Satterwhite,Kathy Murphy,Michael O'Hear"
37,Trauma,2020.0,90,"
Thriller            ",,"
When a family take revenge on a lawyer.",Mark Jury,"Scott Clarkson,Michael Austin,Flavia Fazenda"
38,Le bonnet de Modibo,2020.0,89,"
Comedy, Drama            ",5.7,"
Newly retired from the civil service, Modibo is known for his honesty and has been called on to become the new chief of his home village. But he can't stand the intrigues and has other ...                ",Boubakar Diallo,"Bazilou Bamouni,Djénébou Bara,Moctar Barry,Clarisse Belem"
39,De,2020.0,58,"
Biography            ",8.3,"
        ",Francisco Matias,"Deanna Hanger,Jon Aguiar,Meagan Bourne,Nicole Galindo Herrera"
40,Koler Gaan,2020.0,112,"
Drama            ",7.2,"
Chandrakanta, an ageing patriarch, is a connoisseur of music and the proud owner of an antique gramophone. However, things are about to change in the household with the arrival of his resentful daughter-in-law and son",Bhaskar Banerjee,
41,Low Flyers: The Europe Trip,2020.0,72,"
Comedy            ",,"
British comedy centred around four underachieving college students planing their first trip across Europe to Amsterdam with the college. Due to unforeseen circumstances and the idiocy of ...                ",Adam Starks,"Joshua Copeland,Kieran Donnelly,Alexander Tannahill,Adam Starks"
42,Infinite Clown War,2020.0,61,"
Comedy            ",,"
        ",Douglas Waltz,"Neil Bryer,Megan Dooley,Derek Lee Feltner,Olivia Jeanne"
43,Long Walk to Truth,2020.0,90,"
Drama, Thriller            ",,"
Devastating secrets come to light during an engagement dinner party following the murder of two young women that was pinned on an innocent man.",Okey Ifeanyi,"Abayomi Alvin,Rachel Edwards,Benjamin Enoh,Chelsea Eze"
44,WWII Liberation of Europe - Victory Over Germany,2020.0,62,"
War            ",,"
This program traces the aftermath of the Nazi surrender. From quelling remaining resistances, hunting for saboteurs, creating sustainable towns, and saving countless emaciated prisoners of war.",L. Douglas Keeney,
45,Cabaret,2020.0,82,"
Drama            ",,"
The feature is set in the 1940s, portrays themes that are still very current such as homophobia, racism, abortion and violence against women.",Hudson Glauber,"André Albuquerque,Lucas Amorim,Larissa Antonello,Carolinne Assis"
46,Air War Over Europe - The Liberation of Europe,2020.0,61,"
War            ",,"
Seen through archival images and seldom seen still photography Air War Europe is a history of airborne combat throughout WWII.",L. Douglas Keeney,
47,The Passing,2020.0,105,"
Horror            ",,"
Terrifying story of a girl (Rose) who struggles with the recent loss of her sister. Rose is haunted by her sister as she isolates herself from her family and friends. Blaming herself for her sisters death she may suffer her sisters fate.",Darren Basinger,
48,Across Occupied France - The Liberation of Europe,2020.0,83,"
War            ",,"
Across Occupied France chronicles this momentous liberation of France, eventually bringing allied troops to the very brink of Nazi Germany.",L. Douglas Keeney,
49,Inside the Roosterfish Capital of the World,2020.0,60,"
Sport            ",,"
Journey below the border, down the Baja Peninsula to the East Cape Region of the Sea of Cortez, home to endless white sand beaches and some of the hardest-fighting, inshore fish to be found...                ",Michael Fowlkes,Michael Fowlkes
50,The Come Up,2020.0,106,"
Comedy            ",,"
Three urban friends are in desperate need to get money in a short period of time. They go on a wild ride to secure funds or they will suffer the consequences.",Dorell Reynolds,"Lonnie Gutta,Anthony Hart,Denzel Holley,Deandre Huggins"
51,Trapaça,2020.0,137,"
Drama            ",,"
In times of recession, five friends need to join a cooperative in the hope of not losing their jobs. What they did not expect is that they would take a hit and, in addition to losing their ...                ",Luke Schatzmann,"Alexandre Cardoso,Aldo D'Ibaños,Lara Herschdorfer,Laís Malta"
52,Do Chuala Ceol (I Heard Music),2020.0,45,,,"
This new creative collaboration between Singer and Composer Fiona Kelleher, Musician Caoimhín Vallely and Filmmaker Dónal Ó Céilleachair brings to life an Irish Suantraí (Magical/Lullaby) ...                ",Donal O'Ceilleachair,Alohi Feachem
53,The Purser,2020.0,91,"
Fantasy            ",,"
An accountant takes LSD and disappears with incriminating evidence against his mysterious employers. The Purser is tasked with finding him and destroying the evidence.",Jacques Aldridge,"Jacques Aldridge,Forest Baker,Amy Marie Bowersox,Dawne Ellison"
54,Ente Meera,2020.0,120,"
Romance            ",,"
        ",Shammas Sherafudin,
55,Semillas de lucha,2020.0,77,"
Drama            ",,"
        ",Kvrvf Nawel,
56,The Forgotten,2020.0,58,"
Drama            ",,"
        ",Lyuben Kanev,"Shukraidin Asenov,Iliya Ilchev,Muhamed Kyamil,Marselo Martinov"
57,The Ocean behind the Window,2020.0,91,"
Drama            ",,"
        ",Babak Nabi Zadeh,"Abdol Samad Ahoonbar,Mohammad Azadi,Vania Farahmand,Haniyeh Karimi"
58,Blutsverwandte,2020.0,102,"
Drama            ",,"
After many years of estrangement, Lars visits his father's home unannounced. He hopes for a discussion, to which his father evades. In order to be heard, Lars sees no other way but to tell ...                ",Charlotte Feldmann,"Mónica Martínez Díaz,Harald Geil,Frank Jendrzytza,Jeanette Karstaedt"
59,"Senveno, Pyeongchang",2020.0,52,"
Drama            ",,"
        ",Kwak Dong Chul,Batmunkh Achbadrakh
60,Into Nazi Germany - The Liberation of Europe,2020.0,83,"
War            ",,"
Relive one of the broadest offensives in history as Allied troops move in towards the German Roer Valley.",L. Douglas Keeney,
61,The Fallers,2020.0,65,"
Animation, Adventure, Drama            ",,"
In a dystopian future, Robots are thinking, feeling beings who are treated as second-class citizens. After a contentious election, the new President threatens to make matters much worse for...                ",Farbod Ardebili,"Meixin Han,Emmett Hunter,Kate McIntyre,Erika Walter"
62,Attack of the Wehrmacht - The Liberation of Europe,2020.0,83,"
War            ",,"
Witness the darkest hours of the war in Europe since D-day - the war's most grueling battles at Bastogne, St. Vith, and The Battle of the Bulge.",L. Douglas Keeney,
63,The Puzzling Secret,2020.0,170,"
Mystery            ",10.0,"
        ",Juwel Chowdhury,"Juwel Chowdhury,Ricky Riyaf"
64,Live Fast Die Young: May-Money-Murda-Wood,2020.0,46,"
Crime            ",,"
Females in the city of Maywood are coming up missing across the town. Bodies are being discovered with missing body parts and organs.",Michael Gilmer,"G-money,Mike Gilmer Sr.,Michael McClendon"
65,Disturbing the Peace,2020.0,91,"
Action, Thriller            ",3.3,"
A small-town marshal who hasn't carried a gun since he left the Texas Rangers after a tragic shooting, must pick up his gun again to battle with a gang of outlaw bikers that has invaded the town to pull off a brazen and violent heist.",York Alec Shackleton,"Guy Pearce,Devon Sawa,Kelly Greyson,Michael Sirow"
66,One Day We'll Talk About Today,2020.0,121,"
Drama            ",7.4,"
Three siblings live in happy-looking families, but one of them changes and gets warned by his parents, prompting the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Angga Dwimas Sasongko,"Rio Dewanto,Sheila Dara Aisha,Rachel Amanda,Sinyo Riza"
67,18 Presents,2020.0,115,"
Drama            ",6.9,"
Inspired by the extraordinary story of Elisa Girotto, the woman who moved the world by leaving 18 birthday gifts for her daughter when she discovered that she would have little time with her.",Francesco Amato,"Vittoria Puccini,Benedetta Porcaroli,Edoardo Leo,Sara Lazzaro"
68,Rogue Warfare: Death of a Nation,2020.0,95,"
Action            ",3.3,"
The Black Mask Organization coordinates a twisted plot which will devastate the world within the next 36 hours.",Mike Gunther,"Will Yun Lee,Jermaine Love,Rory Markham,Bertrand-Xavier Corbi"
69,Fighting for the Motherland,2020.0,110,"
Action, History            ",5.7,"
In 1161, Wanyan Liang, emperor of the Jurchen Jin Dynasty, planned to invade the Southern Song Dynasty. Owing to the harsh recruitment policy and the Jin's cruelty, people in the Central ...                ",Zhe Zhang,"Sheng Nan,Miao Xie"
70,Young Aunt 3,2020.0,78,"
Romance            ",7.7,"
        ",Kye Jang-Hyuk,"Sae Bom,Si Woo"
71,Dhamaka,2020.0,121,"
Comedy            ",5.1,"
Crooked intellect father makes a plan for his son's marriage to a divorced millionaire. Problem begins when son finds out he has erectile dysfunction at his first night",Omar,"Nikki Galrani,Dharmajan Bolgatty,Mukesh,Urvashi"
72,Glamour,2020.0,83,"
Mystery            ",5.1,"
A down-and-out detective attempts to solve a disturbing case involving the massacre of models. Can he find the killer before it's too late?",Richard Perry,"Adrian Bouchet,Sarah Alexandra Marks,Charles Venn,Hannah Laresa Smith"
73,Rasuk 2,2020.0,95,"
Horror            ",5.3,"
Isabella experienced something in the autopsy room when dissecting a female body that came without identity. It changed all the views of her life.",Rizal Mantovani,"Nikita Willy,Achmad Megantara,Asri Welas,Raquel Katie Larkin"
74,Enchanted Feather,2020.0,94,"
Family, Fantasy            ",4.7,"
In this Cinderella-like fable, a woman conjures a Prince from a bird feather. Aninka, the youngest of three sisters, deals day in and day out with her bullying siblings. When Aninka and the...                ",Zdenek Troska,"Anastázie Chocholatá,Lukás Pavlásek,Sárka Krausová,Lucie Polisenská"
75,"No Andaba Muerto, Estaba de Parranda",2020.0,90,"
Comedy            ",4.5,"
        ",Fernando Ayllón,"Ana Cristina Botero,Shirley Marulanda,Brian Moreno,Jairo Ordoñez"
76,Canceling,2020.0,100,"
Comedy            ",8.8,"
",Natalie Wynn,"Buck Angel,James Charles,Tati Westbrook,Blaire White"
77,Love Is Blind,2020.0,76,"
Comedy            ",5.2,"
A girl tries to win her blind ex-boyfriend back by pretending to be other people.",Joseph Faultersack,"Justin Rose,Kelly Curran,Jeremy Kaluza,Christy Edwards"
78,Infinite Sex,2020.0,73,"
Romance            ",,"
        ",,
79,Pilot Error,2020.0,113,"
Drama, Mystery            ",7.3,"
An Air Paris jet is missing at the bottom of the Atlantic. When Investigative reporter Nicola Wilson's newspaper editors refuse to assign her the story, she quits to find out what caused the accident that took the lives of 212 passengers.",Joe Anderson,"Kate Thomsen,Robert Cicchini,Larry Herron,Jennifer Jelsema"
80,Angel.A,2020.0,55,"
Sci-Fi            ",5.0,"
Android containing memories of a dead woman must run from the corporation which created it. The Destination of her escape is a place known as ""Asylum"". Help from the misterious man, named Janus, is her only hope.","Hubert Bak,Adam Nowak","Monika Chrzanowska,Zbigniew Zylm,Tomasz Sobczak,Maciej Radel"
81,Wendo Musaly History,2020.0,65,"
Music            ",8.5,"
A story about a young man (Wendo Mbilizi) living a hard life but survived. Wendo Mbilizi was born in the Democratic Republic of the Congo, but had to flee away from home when he was just two months old.",Wendo Musaly,"Wendo Musaly,Mudibu Bisengeta,Mwasimuke Mulumba,Salima Mbilizi"
82,Liverpool vs Sheffield United,2020.0,95,,,"
        ",,
83,Ana,2020.0,105,"
Comedy, Drama            ",5.9,"
Ana meets Rafa in a chance encounter and they embark on a road trip to try and save him from bankruptcy, or worse.",Charles McDougall,"Andy Garcia,Dafne Keen,Jeanne Tripplehorn,Luna Lauren Velez"
84,Shimla Mirchi,2020.0,129,"
Comedy, Romance            ",4.6,"
While on holiday, Avi meets Naina and falls in love with her. Smitten, he decides to stay and work in her cafe. He confesses his love in a letter, however it's Naina's mother who mistakenly reads it.",Ramesh Sippy,"Hema Malini,Rajkummar Rao,Rakul Preet Singh,Shakti Kapoor"
85,Inmate Zero,2020.0,106,"
Horror            ",4.3,"
There's a zombie outbreak after a medical trial in an international detention and medical facility on an isolated island. An ex US Special Forces/bodyguard woman inmate and a guard form a team.",Russell Owen,"Meg Alexandra,Gabz Barker,Kate Bell,Raymond Bethley"
86,Mark of the Devil,2020.0,82,"
Horror            ",3.2,"
Karl, a man who suffers a demonic possession, together with Tomás, a priest with addiction problems, embark on a hunt for demons, finding the case of Camila, a girl who attacks her family ...                ",Diego Cohen,"Eduardo Noriega,Eivaut Rischen,Arantza Ruiz,Nicolasa Ortíz Monasterio"
87,Laz Kit,2020.0,107,"
Comedy            ",1.0,"
Tells us famous cowboy Lucky Luke's missing brother, who lives in northern side of Turkey and known as ""Laz Kit"".","Zeki Akinci,Yusuf Atici","Tugba Özay,Çilgin Sedat,Sinan Bengier,Ahmet Çevik"
88,Bhangra Paa Le,2020.0,131,"
Comedy, Drama, Music            ",6.4,"
Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own.",Sneha Taurani,"Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar,Parmeet Sethi"
89,Agent Jade Black,2020.0,101,"
Action            ",2.1,"
A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.",Terry Spears,"Katie Burgess,Connie Franklin,Sidney Flack,Luke Wyckoff"
90,Ladies of Steel,2020.0,92,"
Drama, Comedy            ",6.1,"
Inkeri, 75, has hit her husband Tapio, on the head with a frying pan and is planning to bury him in their garden after being belittled by him for almost 50 years. Suddenly, Inkeri realizes ...                ",Pamela Tola,"Leena Uotila,Saara Pakkasvirta,Seela Sella,Heikki Nousiainen"
91,American Terrorist,2020.0,78,"
Crime, Drama, Thriller            ",6.1,"
In the wake of September 11th, two brothers believe they have stopped a mass terrorist attack in New York. Now they must face the consequences of taking justice into their own hands.",Charles Kopelson,"Peter Cambor,Lacey Dorn,Tarek Bishara,John Buffalo Mailer"
92,Sameer,2020.0,130,"
Drama            ",7.2,"
        ",Rasheed Parakkal,"Arti Joshi,Ashraf Kiraloor,K.K. Moideen Koya,Mammukoya"
93,Sab Kushal Mangal,2020.0,132,"
Romance            ",4.2,"
Pappu Mishra is the creator and host of a reality show called Musibat Odh Li Maine. Baba Bhandari, a big name in politics and crime, is offended with his reportage. Incidentally, the two ...                ",Karan Vishwanath Kashyap,"Akshaye Khanna,Priyaank Sharma,Riva Kishan,Kaushik Satish"
94,The Dalton Gang,2020.0,80,"
Western            ",2.6,"
When their brother is killed by an outlaw, three Dalton brothers join their sheriff's dept. When they're cheated by the law, they turn to crime. Trying to outdo Jesse James, they try to rob two banks at once in 1892. Things get ugly.",Christopher Forbes,"William Adams,Jezibell Anat,Gunner Bridger,Meghan Bridgers"
95,Asur,2020.0,139,"
Drama            ",7.0,"
Tribute to Ramkinkar Baij, the film explores the relationship between three friends Kigan, Bodhi and Aditi.",Pavel,"Jeet,Abir Chatterjee,Trambak Roy,Nusrat Jahan"
96,Utthara,2020.0,132,"
Romance            ",8.5,"
Ashok falls in love with a girl named Swati but doesn't have enough money to ask for her hand in marriage. For this, he decides to pursue a northern treasure known as Uttara, but in the ...                ",Thirupathi Sr.,"Mozammel Hoshen Chowdhury,KarronyaKatrynn,Sreeram Nimmala,Venu"
97,Dhurala,2020.0,169,"
Drama            ",7.7,"
When the sarpanch of the Ambergaon village dies, his family members battle with each other over their greed for power which affects their relationships.",Sameer Vidwans,"Ankush Chaudhari,Nupur Dudwadkar,Devendra Gaikwad,Prajakta Hanamghar"
98,Hulchul,2020.0,111,"
Drama            ",6.2,"
Trouble starts when the protagonist's friend hands him a Hulchul bottle of liquor with harsh after-effects and a wallet. The game starts when he loses the wallet and gets into trouble with the bad guys.",Sripathy Karri,"Utkam Rudhraksh,Dhanya Balakrishna,Krishnudu,Madhunandan"
99,Run 2,2020.0,119,"
Drama            ",,"
        ",,
100,Gold Coast Lounge,2020.0,119,"
Crime, Drama, Romance            ",5.9,"
An Afro-noir film taking place in the heart of Ghana. A crime family have to clean up their act before the government shuts down their private lounge.",Pascal Aka,"Pascal Aka,Raquel Ammah,Fred Nii Amugi,Adjetey Anang"
101,Gece Gelen: Cin Bebek,2020.0,90,"
Horror            ",2.9,"
        ",Bülent Aydoslu,"Buse Sevindik,Omer Polat,Gizem Tataroglu,Onur Cimen"
102,Sinamkol,2020.0,121,"
Drama            ",8.2,"
The story of an extraordinary man and his struggle to find balance in a post conflict world.",Ranjith Joseph,"Aravindhan,Sinthar Athith,Leelawathy,Mathumathi"
103,Astounding Courage in Distress,2020.0,102,"
Family            ",7.1,"
It is the story of a girl Ruhana, who doesn't lose hope in adverse conditions; she fights bravely for her right. Her future depends only on her strong determination. Will the double ...                ",Priyanka Singh,"Mansinghms,Indu Prasad,Man Singh,Priyanka Singh"
104,Road to Red,2020.0,120,"
Action, Adventure, Horror            ",3.8,"
A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.",Tito da Costa,"Sean Gray,Chris Blasman,Renee Dorian,Michael Buffo"
105,Maarjaara Oru Kalluvacha Nuna,2020.0,142,"
Drama            ",8.6,"
Due to an unfortunate event, Shanthanu leaves home and resides in the outskirts of the city named Ashramam Veedu. During the stay period, there is a twist of fate in Shanthanu's life as he encounters a chain of mysterious events.",Raakesh Baala,"Abhirami,Jason Chacko,Jason Chacko,Disney James"
106,Hocked,2020.0,96,"
Crime, Comedy, Drama            ",,"
        ",Steve Drake,"Rich Ledoux,Steve Drake,Joshua Williams,Jaelyn Silvey"
107,Tobulas Pasimatymas,2020.0,106,"
Comedy, Romance            ",6.3,"
A single music teacher - Lina meets famous TV-host Tomas. They make a deal - Lina goes on online dates and provides Tomas with funny stories from her dates for his show in exchange for a new piano for her school.",Robertas Razma,"Jurgita Jurkute,Leonardas Pobedonoscevas,Goda Petkute,Giedrius Arbaciauskas"
108,English Ki Taay Taay Fisss ...,2020.0,137,"
Comedy, Romance            ",7.2,"
        ",Shailendra Singh Rajput,"Leysan Karimova,Manoj Joshi,Mushtaq Khan,Viju Khote"
109,Thallumpidi,2020.0,128,"
Drama            ",6.0,"
Three college-going friends land into trouble when a simple issue that could have been reconciled in a peaceful manner ends up in a fight.",Prajin Prathap,"Devi Ajith,Fukru Krishnajeev,Kulappulli Leela,Jabir Moosa"
110,Rock Bottom,2020.0,53,"
Comedy            ",6.3,"
A 33 year old man is forced to move back in with his disappointed father, as he continues to fail in life in a downward spiral.",Nathaniel Paull,"Liz Ciolek,Nikole Davis,Krystal Garcia,Mike Gozales"
111,Pachai Vilakku,2020.0,158,"
Drama            ",8.6,"
Synopsis of PACHAI VILAKKU (Green Signal) The story revolves around a Tamilnadu Police Traffic Warden (TPTW) whose nature of duty is to assist and control road traffic with Traffic police ...                ",,
112,Jaan to Pyara,2020.0,130,"
Action, Family            ",4.6,"
Gill and Lakha, two childhood friends fall for the same girl, Maahi. On the other side of the village, Jagga has vowed to make her his wife. Maahi parents force her to marry Jagga but Gill ...                ","Harpreet Matharoo,Karan Chawla,Surinder Khokhar,Nikka Sidhu,Navneet Singh Thind","Rana Jung Bahadur,Rai Jujhar,Yuvleen Kaur,Sakshi Maggo"
